"journal_name","ISSN","JIF_2022","JCR_abbreviation","eISSN","category","total_citations","JIF_rank","JIF_5_year","JIF_5_year_quartile","JIF_without_self_cites","immediacy_index","journal_frequency"
"INTERNATIONAL JOURNAL OF AMERICAN LINGUISTICS","0020-7071",0.1,"INT J AM LINGUIST","1545-7001","LANGUAGE & LINGUISTICS - AHCI",409," N/A ",0.2,NA,0.1,0.1,2
"INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION","1476-8062",1.1,"INT J ART DES EDUC","1476-8070","EDUCATION & EDUCATIONAL RESEARCH - SSCI",483," 237/269 ",0.9,"Q4",1,0.1,1
"INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS","0391-3988",1.7,"INT J ARTIF ORGANS","1724-6040","ENGINEERING, BIOMEDICAL - SCIE",2711," 81/96 ",1.7,"Q4",1.6,0.3,2
"INTERNATIONAL JOURNAL OF AUDIOLOGY","1499-2027",2.7,"INT J AUDIOL","1708-8186","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE",5892," 3/27 ",2.7,"Q2",2.3,0.5,3
"INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT","0165-0254",3.7,"INT J BEHAV DEV","1464-0651","PSYCHOLOGY, DEVELOPMENTAL - SSCI",5090," 21/77 ",3.4,"Q2",3.7,1,1
"INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE","1070-5503",2.7,"INT J BEHAV MED","1532-7558","PSYCHOLOGY, CLINICAL - SSCI",4514," 67/131 ",2.7,"Q3",2.6,0.4,1
"INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS","0218-1274",2.2,"INT J BIFURCAT CHAOS","1793-6551","MULTIDISCIPLINARY SCIENCES - SCIE",8759," 41/73 ",2.3,"Q3",1.9,0.7,1
"INTERNATIONAL JOURNAL OF BIOLOGICAL MARKERS","0393-6155",2,"INT J BIOL MARKER","1724-6008","ONCOLOGY - SCIE",1331," 211/241 ",2.4,"Q4",2,0.5,1
"INTERNATIONAL JOURNAL OF CANCER","0020-7136",6.4,"INT J CANCER","1097-0215","ONCOLOGY - SCIE",57621," 52/241 ",6.7,"Q1",6.2,1,1
"INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING","1569-5794",2.1,"INT J CARDIOVAS IMAG","1875-8312","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE",4864," 101/143 ",2.1,"Q3",1.9,0.4,2
"INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS","0020-7144",1.7,"INT J CLIN EXP HYP","1744-5183","PSYCHIATRY - SSCI",1113," 116/144 ",1.7,"Q4",1.2,1.5,2
"INTERNATIONAL JOURNAL OF CLINICAL PHARMACOLOGY AND THERAPEUTICS","0946-1965",0.8,"INT J CLIN PHARM TH","0946-1965","PHARMACOLOGY & PHARMACY - SCIE",1972," 261/278 ",1.1,"Q4",0.7,0.3,1
"INTERNATIONAL JOURNAL OF CLINICAL PRACTICE","1368-5031",2.6,"INT J CLIN PRACT","1742-1241","MEDICINE, GENERAL & INTERNAL - SCIE",8816," 89/169 ",2.6,"Q3",2.6,0.4,1
"INTERNATIONAL JOURNAL OF COLORECTAL DISEASE","0179-1958",2.8,"INT J COLORECTAL DIS","1432-1262","GASTROENTEROLOGY & HEPATOLOGY - SCIE",8498," 65/93 ",2.9,"Q3",2.7,0.5,2
"INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY","0020-7152",2,"INT J COMP SOCIOL","1745-2554","SOCIOLOGY - SSCI",942," 79/149 ",2.9,"Q2",1.8,0.2,1
"INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT","1044-4068",3.3,"INT J CONFL MANAGE","1758-8545","COMMUNICATION - SSCI",1579," 30/96 ",3.4,"Q2",2.7,0.6,1
"INTERNATIONAL JOURNAL OF COSMETIC SCIENCE","0142-5463",2.3,"INT J COSMETIC SCI","1468-2494","DERMATOLOGY - SCIE",3365," 40/70 ",2.6,"Q3",2.2,0.6,1
"INTERNATIONAL JOURNAL OF DERMATOLOGY","0011-9059",3.6,"INT J DERMATOL","1365-4632","DERMATOLOGY - SCIE",9775," 16/70 ",2.9,"Q2",3.5,0.9,1
"INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE","0736-5748",1.8,"INT J DEV NEUROSCI","1873-474X","NEUROSCIENCES - SCIE",3370," 242/272 ",2.3,"Q4",1.7,0.4,1
"INTERNATIONAL JOURNAL OF DRUG POLICY","0955-3959",4.4,"INT J DRUG POLICY","1873-4758","SUBSTANCE ABUSE - SSCI",9231," 6/38 ",4.7,"Q1",3.9,1.3,1
"INTERNATIONAL JOURNAL OF EARLY CHILDHOOD","0020-7187",4.4,"INT J EARLY CHILD","1878-4658","EDUCATION & EDUCATIONAL RESEARCH - ESCI",768," N/A ",NA,NA,4.2,1,1
"INTERNATIONAL JOURNAL OF EATING DISORDERS","0276-3478",5.5,"INT J EAT DISORDER","1098-108X","NUTRITION & DIETETICS - SCIE",12766," 23/88 ",5.4,"Q2",4.8,0.9,5
"INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT","0738-0593",2.5,"INT J EDUC DEV","1873-4871","EDUCATION & EDUCATIONAL RESEARCH - SSCI",3200," 123/269 ",2.4,"Q3",2.2,0.6,1
"INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION","0949-149X",1,"INT J ENG EDUC","0949-149X","EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",1829," 36/43 ",1,"Q4",0.7,0.1,1
"INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH","0960-3123",3.2,"INT J ENVIRON HEAL R","1369-1619","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",2737," 106/207 ",3.1,"Q3",3.1,0.6,1
"INTERNATIONAL JOURNAL OF EPIDEMIOLOGY","0300-5771",7.7,"INT J EPIDEMIOL","1464-3685","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",34384," 19/207 ",9.7,"Q1",7.5,1.4,1
"INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY","0959-9673",3,"INT J EXP PATHOL","1365-2613","PATHOLOGY - SCIE",2131," 36/76 ",2.5,"Q3",2.9,0.3,2
"INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION","0963-7486",3.9,"INT J FOOD SCI NUTR","1465-3478","NUTRITION & DIETETICS - SCIE",6638," 42/88 ",4.1,"Q3",3.8,1,1
"INTERNATIONAL JOURNAL OF FORECASTING","0169-2070",7.9,"INT J FORECASTING","1872-8200","ECONOMICS - SSCI",9203," 19/380 ",6.2,"Q1",7,6.6,1
"INTERNATIONAL JOURNAL OF GAME THEORY","0020-7276",0.6,"INT J GAME THEORY","1432-1270","ECONOMICS - SSCI",1385," 352/380 ",0.6,"Q4",0.6,0.1,2
"INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","1365-8816",5.7,"INT J GEOGR INF SCI","1362-3087","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI",8901," 18/84 ",5.6,"Q2",5.3,1.2,1
"INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY","0885-6230",4,"INT J GERIATR PSYCH","1099-1166","GERIATRICS & GERONTOLOGY - SCIE",12028," 24/54 ",4.1,"Q3",3.9,0.5,4
"INTERNATIONAL JOURNAL OF GLOBAL ENERGY ISSUES","0954-7118",0.7,"INT J GLOBAL ENERGY","1741-5128","ENVIRONMENTAL STUDIES - ESCI",251," N/A ",0.7,NA,0.7,0.2,1
"INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY","0020-7284",1.3,"INT J GROUP PSYCHOTH","1943-2836","PSYCHOLOGY, CLINICAL - SSCI",399," 108/131 ",0.9,"Q4",1.2,0.3,1
"INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER","1048-891X",4.8,"INT J GYNECOL CANCER","1525-1438","OBSTETRICS & GYNECOLOGY - SCIE",10029," 13/85 ",4,"Q1",4.3,0.9,2
"INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY","0277-1691",2.4,"INT J GYNECOL PATHOL","1538-7151","OBSTETRICS & GYNECOLOGY - SCIE",3150," 52/85 ",2.5,"Q3",2.1,0.7,3
"INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS","0020-7292",3.8,"INT J GYNECOL OBSTET","1879-3479","OBSTETRICS & GYNECOLOGY - SCIE",13007," 22/85 ",3.7,"Q2",3.7,0.5,1
"INTERNATIONAL JOURNAL OF HEALTH CARE QUALITY ASSURANCE","0952-6862",1.5,"INT J HEALTH CARE Q","1758-6542","HEALTH POLICY & SERVICES - ESCI",1489," N/A ",1.7,NA,1.4,0,1
"INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT","0749-6753",2.7,"INT J HEALTH PLAN M","1099-1751","HEALTH POLICY & SERVICES - SSCI",2774," 46/87 ",2.4,"Q3",2.6,0.7,2
"INTERNATIONAL JOURNAL OF HEALTH SERVICES","0020-7314",3.4,"INT J HEALTH SERV","1541-4469","HEALTH CARE SCIENCES & SERVICES - SCIE",2380," 42/106 ",2.7,"Q3",3.3,0.4,2
"INTERNATIONAL JOURNAL OF HEMATOLOGY","0925-5710",2.1,"INT J HEMATOL","1865-3774","HEMATOLOGY - SCIE",4970," 63/79 ",2.1,"Q4",2,0.5,1
"INTERNATIONAL JOURNAL OF HUMAN GENETICS","0972-3757",0.1,"INT J HUM GENET","2456-6330","GENETICS & HEREDITY - SCIE",142," 171/171 ",0.1,"Q4",0.1,0,1
"INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES","1071-5819",5.4,"INT J HUM-COMPUT ST","1095-9300","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",7303," 18/147 ",5.2,"Q1",5.1,1.2,1
"INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH","1438-4639",6,"INT J HYG ENVIR HEAL","1618-131X","INFECTIOUS DISEASES - SCIE",8702," 20/96 ",6.2,"Q1",5.7,1.4,2
"INTERNATIONAL JOURNAL OF HYPERTHERMIA","0265-6736",3.1,"INT J HYPERTHER","1464-5157","ONCOLOGY - SCIE",6456," 149/241 ",3.5,"Q3",2.7,0.8,2
"INTERNATIONAL JOURNAL OF IBERIAN STUDIES","1364-971X",0.3,"INT J IBER STUD","1758-9150","SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",68," N/A ",0.3,NA,0.2,0.3,1
"INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY","0394-6320",3.5,"INT J IMMUNOPATH PH","2058-7384","IMMUNOLOGY - SCIE",3359," 103/161 ",3.8,"Q3",3.5,0.7,4
"INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH","0955-9930",2.6,"INT J IMPOT RES","1476-5489","UROLOGY & NEPHROLOGY - SCIE",3280," 45/88 ",2.4,"Q3",2.1,1.1,1
"INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION","0167-7187",1.5,"INT J IND ORGAN","1873-7986","ECONOMICS - SSCI",3376," 251/380 ",1.9,"Q3",1.4,0.2,1
"INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES","1201-9712",8.4,"INT J INFECT DIS","1878-3511","INFECTIOUS DISEASES - SCIE",24706," 13/96 ",6.7,"Q1",8.2,2.3,1
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","0268-4012",21,"INT J INFORM MANAGE","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI",19865," 1/84 ",19,"Q1",19.7,5.6,1
"INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS","1368-2822",2.4,"INT J LANG COMM DIS","1460-6984","AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE",3507," 8/27 ",3.2,"Q1",2.1,0.2,4
"INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY","0160-2527",2.3,"INT J LAW PSYCHIAT","1873-6386","LAW - SSCI",2258," 27/154 ",2,"Q2",2.1,0.3,2
"INTERNATIONAL JOURNAL OF LEGAL MEDICINE","0937-9827",2.1,"INT J LEGAL MED","1437-1596","MEDICINE, LEGAL - SCIE",5482," 5/17 ",2.1,"Q2",1.9,0.5,1
"INTERNATIONAL JOURNAL OF LEXICOGRAPHY","0950-3846",0.5,"INT J LEXICOGR","1477-4577","LANGUAGE & LINGUISTICS - AHCI",380," N/A ",0.6,NA,0.4,0.2,2
"INTERNATIONAL JOURNAL OF MANPOWER","0143-7720",4.4,"INT J MANPOWER","1758-6577","INDUSTRIAL RELATIONS & LABOR - SSCI",3012," 4/30 ",3.6,"Q2",3.9,0.8,1
"INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS","1386-5056",4.9,"INT J MED INFORM","1872-8243","HEALTH CARE SCIENCES & SERVICES - SCIE",9478," 15/106 ",5.4,"Q1",4.7,0.8,2
"INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY","1438-4221",4.1,"INT J MED MICROBIOL","1618-0607","VIROLOGY - SCIE",4949," 18/36 ",3.5,"Q3",4.1,0.5,1
"INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS","1521-9437",1.2,"INT J MED MUSHROOMS","1940-4344","PHARMACOLOGY & PHARMACY - SCIE",1723," 256/278 ",1.4,"Q4",1,0.3,1
"INTERNATIONAL JOURNAL OF MENTAL HEALTH","0020-7411",2,"INT J MENT HEALTH","1557-9328","PSYCHOLOGY, CLINICAL - ESCI",590," N/A ",1.8,NA,1.6,0.5,1
"INTERNATIONAL JOURNAL OF METHODS IN PSYCHIATRIC RESEARCH","1049-8931",3.1,"INT J METH PSYCH RES","1557-0657","PSYCHIATRY - SCIE",4235," 91/155 ",4.3,"Q2",2.9,0.5,2
"INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES","0020-7438",1,"INT J MIDDLE E STUD","1471-6380","AREA STUDIES - SSCI",1359," 42/84 ",1.5,"Q2",0.9,0.4,1
"INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE","1107-3756",5.4,"INT J MOL MED","1791-244X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",18832," 43/136 ",4.8,"Q2",5.4,1.4,1
"INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY","1057-2414",0.5,"INT J NAUT ARCHAEOL","1095-9270","ARCHAEOLOGY - AHCI",488," N/A ",0.7,NA,0.4,0.3,1
"INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY","1461-1457",4.8,"INT J NEUROPSYCHOPH","1469-5111","CLINICAL NEUROLOGY - SCIE",7624," 49/212 ",5.1,"Q1",4.7,0.8,4
"INTERNATIONAL JOURNAL OF NEUROSCIENCE","0020-7454",2.2,"INT J NEUROSCI","1563-5279","NEUROSCIENCES - SCIE",5432," 221/272 ",2.4,"Q4",2.2,0.4,1
"INTERNATIONAL JOURNAL OF NURSING STUDIES","0020-7489",8.1,"INT J NURS STUD","1873-491X","NURSING - SCIE",16189," 1/125 ",7.6,"Q1",7.9,1.7,2
"INTERNATIONAL JOURNAL OF OBESITY","0307-0565",4.9,"INT J OBESITY","1476-5497","ENDOCRINOLOGY & METABOLISM - SCIE",24935," 39/145 ",5,"Q2",4.8,1.1,2
"INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA","0959-289X",2.8,"INT J OBSTET ANESTH","1532-3374","ANESTHESIOLOGY - SCIE",1972," 19/35 ",2.6,"Q3",2.6,1,2
"INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY","0306-624X",1.5,"INT J OFFENDER THER","1552-6933","CRIMINOLOGY & PENOLOGY - SSCI",2906," 44/70 ",1.8,"Q3",1.4,0.3,2
"INTERNATIONAL JOURNAL OF ONCOLOGY","1019-6439",5.2,"INT J ONCOL","1791-2423","ONCOLOGY - SCIE",20086," 72/241 ",5.1,"Q2",5.2,1.5,1
"INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL IMPLANTS","0882-2786",2,"INT J ORAL MAX IMPL","1942-4434","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE",9010," 66/91 ",2.8,"Q3",1.9,0.2,1
"INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY","0901-5027",2.4,"INT J ORAL MAX SURG","1399-0020","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE",10250," 54/91 ",2.8,"Q3",2.3,0.9,2
"INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY","1047-482X",1,"INT J OSTEOARCHAEOL","1099-1212","ANTHROPOLOGY - SSCI",2360," 52/92 ",1.2,"Q3",0.9,0.3,2
"INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY","0165-5876",1.5,"INT J PEDIATR OTORHI","1872-8464","OTORHINOLARYNGOLOGY - SCIE",10386," 32/43 ",1.5,"Q3",1.4,0.3,4
"INTERNATIONAL JOURNAL OF PERIODONTICS & RESTORATIVE DENTISTRY","0198-7569",1.6,"INT J PERIODONT REST","1945-3388","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE",3941," 79/91 ",1.9,"Q4",1.5,0.4,1
"INTERNATIONAL JOURNAL OF PHARMACY PRACTICE","0961-7671",1.8,"INT J PHARM PRACT","2042-7174","PHARMACOLOGY & PHARMACY - ESCI",1499," N/A ",1.8,NA,1.7,0.3,1
"INTERNATIONAL JOURNAL OF POLITICAL ECONOMY","0891-1916",1.2,"INT J POLIT ECON","1558-0970","ECONOMICS - ESCI",408," N/A ",1.6,NA,1.1,0,1
"INTERNATIONAL JOURNAL OF PROSTHODONTICS","0893-2174",2.3,"INT J PROSTHODONT","1942-4426","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE",4276," 57/91 ",2.3,"Q3",2.2,0.6,1
"INTERNATIONAL JOURNAL OF PSYCHIATRY IN CLINICAL PRACTICE","1365-1501",3,"INT J PSYCHIAT CLIN","1471-1788","PSYCHIATRY - SCIE",1473," 97/155 ",2.9,"Q3",2.9,0.7,1
"INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE","0091-2174",2,"INT J PSYCHIAT MED","1541-3527","PSYCHIATRY - SCIE",1712," 123/155 ",1.7,"Q4",1.9,0.3,2
"INTERNATIONAL JOURNAL OF PSYCHOANALYSIS","0020-7578",1.2,"INT J PSYCHOANAL","1745-8315","PSYCHOLOGY, PSYCHOANALYSIS - SSCI",2860," 1/13 ",0.9,"Q2",1,0.1,1
"INTERNATIONAL JOURNAL OF PSYCHOLOGY","0020-7594",3.2,"INT J PSYCHOL","1464-066X","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",4395," 48/147 ",2.9,"Q2",3.2,0.4,1
"INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY","0167-8760",3,"INT J PSYCHOPHYSIOL","1872-7697","NEUROSCIENCES - SCIE",10253," 163/272 ",3.3,"Q3",2.7,0.6,4
"INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION","0190-0692",1.8,"INT J PUBLIC ADMIN","1532-4265","PUBLIC ADMINISTRATION - ESCI",2676," N/A ",1.9,NA,1.7,0.6,1
"INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH","0954-2892",1.8,"INT J PUBLIC OPIN R","1471-6909","COMMUNICATION - SSCI",1669," 68/96 ",2.2,"Q3",1.6,0.2,3
"INTERNATIONAL JOURNAL OF RADIATION BIOLOGY","0955-3002",2.6,"INT J RADIAT BIOL","1362-3095","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",6356," 73/135 ",2.8,"Q2",2.3,1.2,1
"INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS","0360-3016",7,"INT J RADIAT ONCOL","1879-355X","ONCOLOGY - SCIE",46275," 48/241 ",6.6,"Q1",6.5,2.2,2
"INTERNATIONAL JOURNAL OF REHABILITATION RESEARCH","0342-5282",1.7,"INT J REHABIL RES","1473-5660","REHABILITATION - SCIE",2025," 46/68 ",1.9,"Q3",1.7,0.3,2
"INTERNATIONAL JOURNAL OF RISK & SAFETY IN MEDICINE","0924-6479",1.7,"INT J RISK SAF MED","1878-6847","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",332," N/A ",1.6,NA,1.4,0.4,1
"INTERNATIONAL JOURNAL OF SCIENCE EDUCATION","0950-0693",2.3,"INT J SCI EDUC","1464-5289","EDUCATION & EDUCATIONAL RESEARCH - SSCI",7116," 140/269 ",2.9,"Q2",2,0.4,1
"INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT","0965-075X",2.2,"INT J SELECT ASSESS","1468-2389","PSYCHOLOGY, APPLIED - SSCI",1730," 53/83 ",2.2,"Q4",1.5,0.7,1
"INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS","0306-8293",1.9,"INT J SOC ECON","1758-6712","ECONOMICS - ESCI",2235," N/A ",2,NA,1.8,0.3,1
"INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY","0020-7640",7.5,"INT J SOC PSYCHIATR","1741-2854","PSYCHIATRY - SSCI",5602," 16/144 ",5.8,"Q1",7.4,0.5,1
"INTERNATIONAL JOURNAL OF SOCIAL WELFARE","1369-6866",1.9,"INT J SOC WELF","1468-2397","SOCIAL WORK - SSCI",1355," 21/44 ",1.8,"Q3",1.7,0.2,1
"INTERNATIONAL JOURNAL OF SPORT NUTRITION AND EXERCISE METABOLISM","1526-484X",2.5,"INT J SPORT NUTR EXE","1543-2742","NUTRITION & DIETETICS - SCIE",3895," 67/88 ",4.4,"Q2",2.3,3.2,2
"INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY","0047-0767",0.8,"INT J SPORT PSYCHOL",NA,"HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI",1184," 56/58 ",0.9,"Q4",0.7,0,4
"INTERNATIONAL JOURNAL OF SPORTS MEDICINE","0172-4622",2.5,"INT J SPORTS MED","1439-3964","SPORT SCIENCES - SCIE",10030," 41/87 ",2.9,"Q3",2.4,0.4,1
"INTERNATIONAL JOURNAL OF STD & AIDS","0956-4624",1.4,"INT J STD AIDS","1758-1052","IMMUNOLOGY - SCIE",3286," 153/161 ",1.4,"Q4",1.3,0.4,2
"INTERNATIONAL JOURNAL OF STRESS MANAGEMENT","1072-5245",4,"INT J STRESS MANAGE","1573-3424","PSYCHOLOGY, APPLIED - SSCI",2551," 28/83 ",4.4,"Q2",3.8,0.3,1
"INTERNATIONAL JOURNAL OF SURGICAL PATHOLOGY","1066-8969",1.2,"INT J SURG PATHOL","1940-2465","PATHOLOGY - SCIE",2009," 62/76 ",1.1,"Q4",1.2,0.2,3
"INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION","0957-7572",2.1,"INT J TECHNOL DES ED","1573-1804","EDUCATION & EDUCATIONAL RESEARCH - SSCI",1580," 158/269 ",2.4,"Q3",1.7,0.3,2
"INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE","0266-4623",3.2,"INT J TECHNOL ASSESS","1471-6348","HEALTH CARE SCIENCES & SERVICES - SCIE",2714," 48/106 ",2.6,"Q3",2.7,0.7,3
"INTERNATIONAL JOURNAL OF TOXICOLOGY","1091-5818",2.2,"INT J TOXICOL","1092-874X","PHARMACOLOGY & PHARMACY - SCIE",2398," 208/278 ",2.3,"Q3",2.1,0.3,2
"INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE","1027-3719",4,"INT J TUBERC LUNG D","1815-7920","INFECTIOUS DISEASES - SCIE",7467," 46/96 ",2.8,"Q3",3.2,1.3,2
"INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH","0309-1317",3.3,"INT J URBAN REGIONAL","1468-2427","REGIONAL & URBAN PLANNING - SSCI",6695," 16/40 ",4.4,"Q2",3.2,1.2,2
"INTERNATIONAL JOURNAL OF URBAN SCIENCES","1226-5934",2.9,"INT J URBAN SCI","2161-6779","ENVIRONMENTAL STUDIES - SSCI",876," 76/128 ",2.7,"Q3",2.7,0.5,2
"INTERNATIONAL JOURNAL OF UROLOGY","0919-8172",2.6,"INT J UROL","1442-2042","UROLOGY & NEPHROLOGY - SCIE",5328," 45/88 ",2.9,"Q2",2.3,0.9,1
"INTERNATIONAL LABOR AND WORKING-CLASS HISTORY","0147-5479",0.5,"INT LABOR WORK-CLASS","1471-6445","INDUSTRIAL RELATIONS & LABOR - SSCI",377," 28/30 ",0.9,"Q4",0.5,0.1,1
"INTERNATIONAL LABOUR REVIEW","0020-7780",1.5,"INT LABOUR REV","1564-913X","ECONOMICS - SSCI",1163," 251/380 ",1.8,"Q3",1.2,2,2
"INTERNATIONAL MIGRATION","0020-7985",1.9,"INT MIGR","1468-2435","DEMOGRAPHY - SSCI",2837," 18/30 ",2,"Q3",1.7,0.4,1
"INTERNATIONAL MIGRATION REVIEW","0197-9183",3.8,"INT MIGR REV","1747-7379","DEMOGRAPHY - SSCI",4415," 4/30 ",3.7,"Q1",3.5,0.3,1
"INTERNATIONAL NURSING REVIEW","0020-8132",4.1,"INT NURS REV","1466-7657","NURSING - SCIE",2945," 9/125 ",4.1,"Q1",3.8,0.4,2
"INTERNATIONAL OPHTHALMOLOGY","0165-5701",1.6,"INT OPHTHALMOL","1573-2630","OPHTHALMOLOGY - SCIE",4830," 50/62 ",1.8,"Q3",1.6,0.2,1
"INTERNATIONAL ORGANIZATION","0020-8183",7.8,"INT ORGAN","1531-5088","INTERNATIONAL RELATIONS - SSCI",8555," 1/96 ",8,"Q1",7.7,1.5,3
"INTERNATIONAL ORTHOPAEDICS","0341-2695",2.7,"INT ORTHOP","1432-5195","ORTHOPEDICS - SCIE",13022," 31/86 ",2.9,"Q2",2.4,0.5,1
"INTERNATIONAL POLITICAL SCIENCE REVIEW","0192-5121",2.2,"INT POLIT SCI REV","1460-373X","POLITICAL SCIENCE - SSCI",2030," 72/187 ",2.2,"Q2",2.1,0.5,2
"INTERNATIONAL PSYCHOGERIATRICS","1041-6102",7,"INT PSYCHOGERIATR","1741-203X","GERIATRICS & GERONTOLOGY - SCIE",10184," 8/54 ",5.1,"Q2",6.4,2.4,5
"INTERNATIONAL REGIONAL SCIENCE REVIEW","0160-0176",2.3,"INT REGIONAL SCI REV","1552-6925","ENVIRONMENTAL STUDIES - SSCI",1483," 92/128 ",2.8,"Q3",2,0.5,3
"INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES","0020-8523",2.3,"INT REV ADM SCI","1461-7226","PUBLIC ADMINISTRATION - SSCI",2123," 32/49 ",2.6,"Q3",2.2,0.7,1
"INTERNATIONAL REVIEW OF EDUCATION","0020-8566",3.2,"INT REV EDUC","1573-0638","EDUCATION & EDUCATIONAL RESEARCH - ESCI",1144," N/A ",3,NA,3,0.3,1
"INTERNATIONAL REVIEW OF LAW AND ECONOMICS","0144-8188",1.1,"INT REV LAW ECON","1873-6394","ECONOMICS - SSCI",1077," 299/380 ",1.3,"Q4",0.9,0.2,2
"INTERNATIONAL REVIEW OF PSYCHIATRY","0954-0261",2.8,"INT REV PSYCHIATR","1369-1627","PSYCHIATRY - SSCI",4301," 75/144 ",4.5,"Q2",2.8,0.8,1
"INTERNATIONAL REVIEWS OF IMMUNOLOGY","0883-0185",5,"INT REV IMMUNOL","1563-5244","IMMUNOLOGY - SCIE",2156," 68/161 ",5.2,"Q2",4.8,1.2,1
"INTERNATIONAL SECURITY","0162-2889",5,"INT SECURITY","1531-4804","INTERNATIONAL RELATIONS - SSCI",4332," 4/96 ",8.7,"Q1",4.5,0.8,1
